ppg
timestamp	value
1623665283476	5099860
1623665283511	5100085
1623665283554	5100731
1623665283579	5105342
1623665283612	5109183
1623665283644	5108097
1623665283678	5108350
1623665283714	5104082
1623665283752	5100684
1623665283785	5099681
1623665283815	5103414
1623665283851	5103090
1623665283882	5101362
1623665283918	5101854
1623665283951	5102989
1623665283999	5105129
1623665284020	5103799
1623665284053	5102630
1623665284089	5102436
1623665284121	5103135
1623665284155	5104720
1623665284197	5107230
1623665284222	5106728
1623665284254	5108569
1623665284288	5110623
1623665284325	5111372
1623665284361	5112087
1623665284394	5113496
1623665284424	5113550
1623665284457	5115306
1623665284490	5116963
1623665284524	5117525
1623665284559	5118748
1623665284592	5117576
1623665284625	5114189
1623665284660	5110110
1623665284695	5107746
1623665284726	5109236
1623665284761	5109323
1623665284798	5109434
1623665284827	5108501
1623665284860	5107818
1623665284895	5107928
1623665284928	5106189
1623665284963	5105581
1623665285003	5106363
1623665285036	5106555
1623665285065	5107174
1623665285099	5108125
1623665285131	5110146
1623665285166	5111323
1623665285201	5113619
1623665285235	5114750
1623665285267	5116158
1623665285304	5115663
1623665285335	5117233
1623665285368	5118779
1623665285405	5118620
1623665285435	5120152
1623665285483	5121901
1623665285498	5120496
1623665285538	5118452
1623665285571	5114647
1623665285602	5112259
1623665285646	5111596
1623665285678	5110581
1623665285706	5111211
1623665285744	5110333
1623665285777	5108996
1623665285810	5108517
1623665285843	5107865
1623665285878	5106261
1623665285926	5104944
1623665285958	5105630
1623665285996	5106497
1623665286030	5106996
1623665286044	5108049
1623665286090	5109369
1623665286108	5110733
1623665286143	5112550
1623665286176	5112280
1623665286214	5112893
1623665286247	5112517
1623665286287	5113705
1623665286313	5112985
1623665286348	5114841
1623665286382	5115449
1623665286415	5116819
1623665286452	5113149
1623665286485	5108783
1623665286515	5103487
1623665286550	5101170
1623665286584	5101181
1623665286620	5099746
1623665286652	5099229
1623665286688	5099941
1623665286732	5098619
1623665286754	5097080
1623665286786	5097159
1623665286820	5096703
1623665286853	5094314
1623665286889	5094621
1623665286929	5096097
1623665286956	5097175
1623665286989	5096761
1623665287024	5100402
1623665287058	5100203
1623665287094	5101301
1623665287128	5103402
1623665287159	5105017
1623665287192	5104191
1623665287230	5105590
1623665287260	5107258
1623665287293	5109463
1623665287328	5110796
1623665287359	5111032
1623665287393	5111077
1623665287428	5107640
1623665287462	5102801
1623665287497	5100020
1623665287539	5101825
1623665287564	5101546
1623665287599	5099454
1623665287633	5099119
1623665287661	5099182
1623665287692	5099181
1623665287736	5098743
1623665287761	5098312
1623665287794	5097897
1623665287828	5098526
1623665287870	5100099
1623665287902	5099408
1623665287935	5100918
1623665287984	5101759
1623665288003	5103378
1623665288037	5105120
1623665288070	5105208
1623665288105	5105943
1623665288132	5105274
1623665288181	5106457
1623665288206	5108588
1623665288240	5108932
1623665288271	5110290
1623665288306	5111216
1623665288346	5111557
1623665288379	5109121
1623665288426	5105097
1623665288442	5099848
1623665288479	5100180
1623665288512	5098980
1623665288561	5099918
1623665288596	5099494
1623665288627	5099216
1623665288660	5099691
1623665288678	5099005
1623665288726	5099187
1623665288749	5096679
1623665288792	5097130
1623665288824	5097859
1623665288848	5098942
1623665288883	5099399
1623665288914	5101173
1623665288949	5101662
1623665288989	5102991
1623665289015	5102859
1623665289051	5103943
1623665289084	5105270
1623665289120	5104985
1623665289153	5106676
1623665289186	5107366
1623665289216	5108149
1623665289254	5108529
1623665289288	5111570
1623665289322	5111826
1623665289354	5111434
1623665289390	5107912
1623665289434	5104583
1623665289454	5100873
1623665289493	5100214
1623665289537	5100690
1623665289557	5100506
1623665289597	5099709
1623665289617	5100248
1623665289655	5099892
1623665289689	5098580
1623665289726	5098416
1623665289763	5097728
1623665289795	5096952
1623665289829	5096183
1623665289860	5097972
1623665289894	5098849
1623665289931	5099150
1623665289962	5099712
1623665289997	5101854
1623665290028	5102589
1623665290076	5103476
1623665290098	5104774
1623665290131	5108345
1623665290165	5108958
1623665290200	5111393
1623665290240	5112589
1623665290273	5113268
1623665290301	5113676
1623665290331	5113921
1623665290368	5110580
1623665290402	5105321
1623665290438	5101909
1623665290471	5100882
1623665290521	5101860
1623665290540	5101926
1623665290571	5101188
1623665290604	5100617
1623665290638	5099405
1623665290673	5098258
1623665290718	5095924
1623665290740	5097076
1623665290774	5096307
1623665290807	5095601
1623665290843	5096947
1623665290875	5097348
1623665290915	5098975
1623665290943	5099425
1623665290975	5099706
1623665291011	5099075
1623665291045	5097675
1623665291080	5099136
1623665291113	5098542
1623665291145	5099546
1623665291181	5099932
1623665291213	5102086
1623665291246	5103641
1623665291280	5107207
1623665291315	5106710
1623665291360	5104667
1623665291382	5098717
1623665291432	5095148
1623665291460	5095205
1623665291483	5094507
1623665291525	5093586
1623665291558	5092151
1623665291591	5094436
1623665291624	5094428
1623665291658	5092965
1623665291689	5090727
1623665291728	5089385
1623665291750	5090525
1623665291785	5090735
1623665291818	5091008
1623665291854	5090613
1623665291888	5092666
1623665291921	5093847
1623665291970	5094589
1623665291990	5095019
1623665292023	5094726
1623665292058	5095871
1623665292090	5097945
1623665292127	5098969
1623665292166	5099530
1623665292191	5101140
1623665292224	5102044
1623665292258	5101550
1623665292294	5101145
1623665292331	5096833
1623665292365	5091183
1623665292397	5087645
1623665292429	5086620
1623665292463	5086313
1623665292496	5085758
1623665292530	5085024
1623665292564	5086091
1623665292611	5085671
1623665292632	5083163
1623665292662	5082282
1623665292698	5082287
1623665292731	5082962
1623665292767	5083988
1623665292809	5086682
1623665292842	5088683
1623665292870	5089840
1623665292902	5091572
1623665292936	5093040
1623665292973	5095987
1623665293007	5095774
1623665293039	5096031
1623665293072	5097555
1623665293106	5099002
1623665293140	5098724
1623665293172	5099008
1623665293204	5099709
1623665293237	5095711
1623665293270	5092546
1623665293309	5089010
1623665293343	5084474
1623665293376	5082080
1623665293418	5082891
1623665293443	5083874
1623665293477	5081531
1623665293511	5079897
1623665293550	5080748
1623665293583	5080722
1623665293616	5078947
1623665293648	5078962
1623665293677	5077935
1623665293712	5078146
1623665293746	5078586
1623665293781	5080702
1623665293815	5080427
1623665293863	5081142
1623665293884	5081894
1623665293917	5081770
1623665293949	5080528
1623665293984	5082620
1623665294018	5084636
1623665294061	5083943
1623665294087	5087056
1623665294120	5088695
1623665294151	5089544
1623665294187	5090120
1623665294225	5087124
1623665294258	5085092
1623665294286	5078513
1623665294322	5073798
1623665294357	5071585
1623665294388	5071425
1623665294425	5068750
1623665294457	5066402
1623665294490	5066053
1623665294524	5063838
1623665294554	5060454
1623665294590	5059848
1623665294625	5057886
1623665294658	5055145
1623665294703	5054852
1623665294727	5053812
1623665294759	5053845
1623665294793	5052982
1623665294827	5053616
1623665294867	5052863
1623665294900	5054064
1623665294928	5054990
1623665294962	5055545
1623665294995	5055772
1623665295028	5056568
1623665295064	5061084
1623665295098	5062886
1623665295129	5065375
1623665295164	5066151
1623665295201	5064039
1623665295231	5059874
1623665295265	5054230
1623665295312	5052243
1623665295344	5054931
1623665295364	5054630
1623665295402	5055626
1623665295438	5058563
1623665295470	5058915
1623665295509	5060652
1623665295542	5064881
1623665295569	5064217
1623665295603	5060161
1623665295637	5060810
1623665295674	5061153
1623665295707	5061568
1623665295741	5061244
1623665295767	5064542
1623665295804	5064955
1623665295840	5064827
1623665295874	5066844
1623665295911	5066105
1623665295955	5066596
1623665295988	5068707
1623665296010	5070491
1623665296043	5072665
1623665296077	5075311
1623665296113	5074473
1623665296152	5076120
1623665296184	5075787
1623665296212	5070907
1623665296247	5066140
1623665296281	5064474
1623665296313	5065258
1623665296349	5063426
