ppg
timestamp	value
1623678947892	5043569
1623678947942	5044577
1623678947960	5046267
1623678947992	5047912
1623678948027	5049144
1623678948061	5048668
1623678948096	5048368
1623678948139	5048506
1623678948163	5049111
1623678948194	5051664
1623678948229	5052993
1623678948263	5055337
1623678948297	5054778
1623678948337	5054107
1623678948370	5046555
1623678948398	5039354
1623678948433	5036809
1623678948468	5039949
1623678948502	5043274
1623678948534	5042600
1623678948584	5042457
1623678948604	5043383
1623678948636	5041219
1623678948668	5037688
1623678948703	5037416
1623678948737	5037623
1623678948782	5038320
1623678948814	5039250
1623678948838	5041347
1623678948871	5043245
1623678948907	5045015
1623678948946	5045208
1623678948979	5047021
1623678949006	5046211
1623678949042	5046894
1623678949074	5046791
1623678949108	5048155
1623678949144	5047735
1623678949177	5049302
1623678949226	5048674
1623678949244	5047676
1623678949277	5047955
1623678949312	5039651
1623678949344	5030120
1623678949379	5026793
1623678949424	5025404
1623678949446	5023557
1623678949478	5023672
1623678949512	5020239
1623678949547	5021778
1623678949582	5020317
1623678949621	5018629
1623678949648	5016325
1623678949681	5014596
1623678949715	5014934
1623678949749	5015617
1623678949786	5017334
1623678949822	5018507
1623678949847	5019513
1623678949885	5020000
1623678949918	5020116
1623678949953	5021797
1623678949986	5022456
1623678950022	5021969
1623678950066	5022671
1623678950089	5023416
1623678950121	5024925
1623678950165	5025278
1623678950188	5027065
1623678950231	5027981
1623678950263	5026307
1623678950297	5016223
1623678950330	5009624
1623678950363	5007444
1623678950397	5007380
1623678950432	5008981
1623678950461	5010206
1623678950491	5009576
1623678950527	5010255
1623678950560	5007365
1623678950594	5005580
1623678950628	5003037
1623678950662	5002584
1623678950694	5002230
1623678950729	5003660
1623678950762	5005289
1623678950795	5007938
1623678950828	5008462
1623678950873	5009089
1623678950897	5012506
1623678950930	5013164
1623678950965	5013243
1623678950998	5012009
1623678951032	5011399
1623678951071	5012837
1623678951103	5013902
1623678951134	5016214
1623678951171	5019942
1623678951202	5019837
1623678951237	5015236
1623678951270	5007117
1623678951303	5001469
1623678951350	5002084
1623678951376	5001648
1623678951405	5003976
1623678951438	5004094
1623678951471	5005728
1623678951515	5006309
1623678951548	5002933
1623678951574	5002090
1623678951608	5001705
1623678951642	5003405
1623678951680	5005500
1623678951714	5007117
1623678951743	5006760
1623678951776	5010114
1623678951811	5011293
1623678951849	5013512
1623678951880	5011561
1623678951912	5014994
1623678951960	5016049
1623678951979	5014925
1623678952013	5015060
1623678952048	5018103
1623678952081	5018560
1623678952114	5019676
1623678952157	5020258
1623678952181	5013383
1623678952217	5004752
1623678952250	5000159
1623678952283	4998700
1623678952322	4998273
1623678952355	4998874
1623678952384	4998913
1623678952420	5000180
1623678952456	4999347
1623678952487	4997185
1623678952522	4995445
1623678952554	4995013
1623678952602	4993795
1623678952623	4994933
1623678952657	4997646
1623678952690	4997810
1623678952724	4999598
1623678952757	4998995
1623678952799	5000570
1623678952835	5000650
1623678952858	5001303
1623678952890	5001182
1623678952926	5000371
1623678952965	5003911
1623678952997	5004777
1623678953026	5006188
1623678953061	5011373
1623678953094	5014699
1623678953128	5014751
1623678953162	5008040
1623678953196	5002883
1623678953229	4998417
1623678953264	4997418
1623678953299	4999303
1623678953332	4998308
1623678953366	4996448
1623678953409	4997139
1623678953441	4995036
1623678953466	4990261
1623678953500	4986227
1623678953535	4986075
1623678953568	4984533
1623678953607	4982545
1623678953633	4979302
1623678953669	4978639
1623678953706	4977804
1623678953734	4977830
1623678953771	4979483
1623678953806	4977144
1623678953853	4978635
1623678953871	4980767
1623678953907	4981382
1623678953941	4985290
1623678953973	4986855
1623678954007	4989399
1623678954051	4991369
1623678954076	4992558
1623678954108	4985016
1623678954142	4979735
1623678954176	4976194
1623678954216	4976061
1623678954248	4977492
1623678954276	4977081
1623678954311	4976672
1623678954344	4975772
1623678954381	4973603
1623678954413	4972800
1623678954447	4972133
1623678954478	4970987
1623678954516	4971707
1623678954546	4972067
1623678954581	4973522
1623678954615	4974796
1623678954660	4975913
1623678954682	4976793
1623678954715	4978009
1623678954751	4980371
1623678954783	4980616
1623678954817	4980034
1623678954858	4980749
1623678954891	4982087
1623678954915	4984543
1623678954952	4986419
1623678954986	4984168
1623678955023	4973248
1623678955055	4965310
1623678955090	4961813
1623678955121	4958801
1623678955155	4961650
1623678955190	4961704
1623678955222	4959560
1623678955256	4961254
1623678955303	4958420
1623678955323	4956393
1623678955357	4956042
1623678955391	4955368
1623678955424	4955496
1623678955460	4956857
1623678955500	4957635
1623678955527	4959714
1623678955559	4960494
1623678955593	4961462
1623678955628	4965291
1623678955665	4966241
1623678955698	4966327
1623678955731	4966330
1623678955765	4967481
1623678955796	4967605
1623678955831	4971193
1623678955865	4972417
1623678955899	4972593
1623678955945	4967442
1623678955966	4958333
1623678956000	4951677
1623678956034	4949665
1623678956067	4948540
1623678956100	4947674
1623678956142	4949285
1623678956175	4948743
1623678956202	4947621
1623678956235	4946623
1623678956271	4945648
1623678956308	4944993
1623678956341	4945219
1623678956371	4945479
1623678956405	4947158
1623678956438	4950194
1623678956473	4950529
1623678956508	4950941
1623678956543	4954176
1623678956588	4954542
1623678956608	4956436
1623678956643	4956811
1623678956675	4958026
1623678956708	4958864
1623678956751	4961053
1623678956784	4963963
1623678956809	4966608
1623678956844	4967218
1623678956878	4963745
1623678956911	4954699
1623678956950	4948212
1623678956983	4946802
1623678957014	4946720
1623678957049	4947996
1623678957084	4948152
1623678957117	4948797
1623678957148	4949845
1623678957184	4948744
1623678957229	4945362
1623678957249	4944851
1623678957283	4947405
1623678957319	4948728
1623678957351	4949614
1623678957385	4951643
1623678957427	4952183
1623678957452	4952501
1623678957486	4955102
1623678957518	4958018
1623678957555	4959628
1623678957592	4961586
1623678957626	4962204
1623678957653	4961713
1623678957689	4962934
1623678957723	4963984
1623678957759	4968819
1623678957791	4969795
1623678957827	4968597
1623678957858	4956972
1623678957891	4950445
1623678957925	4949628
1623678957959	4950496
1623678957993	4951308
1623678958036	4952077
1623678958069	4954676
1623678958093	4954374
1623678958127	4952609
1623678958161	4951608
1623678958196	4950720
1623678958234	4950078
1623678958267	4948986
1623678958297	4949792
1623678958330	4952533
1623678958363	4952831
1623678958399	4956554
1623678958433	4959367
1623678958465	4961059
1623678958499	4960766
1623678958533	4960431
1623678958568	4962811
1623678958602	4966341
1623678958634	4966434
1623678958678	4969322
1623678958711	4973060
1623678958733	4976841
1623678958769	4975034
1623678958803	4967281
1623678958837	4960744
1623678958879	4957967
1623678958910	4958462
1623678958937	4956780
1623678958971	4958189
1623678959005	4959074
1623678959041	4959122
1623678959073	4959845
1623678959123	4960285
1623678959143	4958911
1623678959173	4959669
1623678959211	4960005
1623678959241	4962434
1623678959275	4966139
1623678959321	4967172
1623678959344	4969077
1623678959377	4971974
1623678959418	4973548
1623678959453	4974531
1623678959487	4974143
1623678959520	4975041
1623678959555	4975932
1623678959587	4977766
1623678959622	4979972
1623678959655	4982609
1623678959690	4981858
1623678959723	4976166
1623678959766	4969225
1623678959789	4964371
1623678959822	4964121
1623678959859	4964916
1623678959891	4966435
1623678959931	4967286
1623678959963	4966286
1623678959990	4966049
1623678960029	4963036
1623678960059	4960847
1623678960095	4960243
1623678960128	4960194
1623678960162	4960156
1623678960210	4962653
1623678960230	4962381
1623678960263	4963095
1623678960296	4964508
1623678960333	4965762
1623678960363	4965818
1623678960409	4966878
1623678960430	4967449
1623678960465	4969915
1623678960500	4973287
1623678960534	4974001
1623678960570	4974858
1623678960606	4969849
1623678960639	4961892
1623678960669	4958983
1623678960703	4958539
1623678960736	4960417
1623678960771	4961232
1623678960805	4959566
1623678960835	4961197
1623678960871	4961563
1623678960906	4959596
1623678960936	4959688
1623678960972	4961678
1623678961006	4963620
1623678961051	4963873
1623678961074	4965402
1623678961108	4966580
1623678961143	4967103
1623678961177	4968457
1623678961215	4970555
1623678961248	4972016
1623678961277	4970985
1623678961310	4973368
1623678961346	4974115
1623678961380	4977266
1623678961413	4976880
1623678961446	4978142
1623678961478	4974879
1623678961512	4967727
1623678961547	4961978
1623678961580	4961983
1623678961614	4962045
1623678961660	4961508
1623678961693	4961642
1623678961716	4961168
1623678961753	4962954
1623678961783	4962850
1623678961817	4961881
1623678961857	4960521
1623678961894	4960009
1623678961920	4959538
1623678961957	4960815
1623678961989	4962835
1623678962022	4965570
1623678962055	4967393
1623678962084	4968315
1623678962120	4967445
1623678962155	4967955
1623678962188	4969048
1623678962223	4969132
1623678962256	4972956
1623678962287	4975350
1623678962323	4975387
1623678962357	4976158
1623678962391	4978806
1623678962427	4973370
1623678962466	4965850
1623678962500	4960392
1623678962527	4958173
1623678962559	4959891
1623678962594	4960578
1623678962627	4961107
1623678962664	4961307
1623678962697	4961069
1623678962727	4961934
1623678962763	4960522
1623678962796	4959420
1623678962830	4958863
1623678962864	4960372
1623678962912	4959749
1623678962945	4961028
1623678962965	4965717
1623678963000	4966841
1623678963036	4968545
1623678963069	4970407
1623678963109	4970475
1623678963131	4971667
1623678963168	4974308
1623678963204	4976347
1623678963237	4976760
1623678963273	4978653
1623678963306	4981611
1623678963339	4983597
1623678963370	4979883
1623678963406	4974934
1623678963439	4967574
1623678963472	4966480
1623678963505	4968483
1623678963554	4969562
1623678963574	4970976
1623678963607	4972599
1623678963643	4974058
1623678963673	4975058
1623678963718	4974055
1623678963751	4973522
1623678963776	4973456
1623678963810	4975047
1623678963845	4975828
1623678963883	4978597
1623678963916	4979479
1623678963949	4979607
1623678963978	4981333
1623678964011	4982718
1623678964047	4982622
1623678964081	4985616
1623678964115	4985971
1623678964148	4986557
1623678964181	4987505
1623678964217	4989954
1623678964248	4991512
1623678964278	4994592
1623678964316	4995044
1623678964360	4988513
1623678964393	4982093
1623678964421	4978027
1623678964452	4977667
1623678964486	4978776
1623678964519	4978367
1623678964558	4978419
1623678964591	4979234
1623678964621	4978132
1623678964656	4974537
1623678964689	4975476
1623678964723	4974045
1623678964756	4972295
1623678964787	4975469
1623678964822	4975186
1623678964855	4975346
1623678964889	4975553
1623678964926	4975927
1623678964959	4975531
1623678965003	4976543
1623678965022	4979567
1623678965055	4978754
1623678965093	4979614
1623678965125	4979898
1623678965167	4980690
1623678965200	4982347
1623678965227	4981772
1623678965262	4976404
1623678965299	4966748
1623678965332	4961638
1623678965365	4959100
1623678965398	4957609
1623678965429	4958481
1623678965466	4959906
1623678965498	4958682
1623678965535	4957846
1623678965565	4956231
1623678965599	4953329
1623678965645	4952330
1623678965666	4953526
1623678965702	4953419
1623678965735	4954454
1623678965771	4955421
1623678965810	4956759
1623678965834	4958970
1623678965867	4960804
1623678965903	4962467
1623678965938	4960887
1623678965970	4960432
1623678966007	4961361
1623678966040	4961613
1623678966070	4962249
1623678966104	4964301
1623678966142	4965642
1623678966173	4963899
1623678966206	4961130
1623678966243	4951974
1623678966287	4945994
1623678966310	4944519
1623678966343	4945476
1623678966377	4945247
1623678966411	4945760
1623678966452	4946479
1623678966485	4944534
1623678966513	4943243
1623678966547	4940465
1623678966583	4938358
1623678966616	4938502
1623678966649	4940697
1623678966682	4941009
1623678966715	4942544
1623678966750	4944451
1623678966782	4947153
1623678966814	4947530
1623678966851	4949153
1623678966897	4947599
1623678966916	4947871
1623678966953	4952043
1623678966983	4952410
1623678967017	4951893
1623678967052	4955856
1623678967094	4956635
1623678967127	4956089
1623678967153	4948427
1623678967189	4938742
1623678967221	4934670
1623678967254	4936489
1623678967292	4936499
1623678967324	4936157
1623678967353	4936874
1623678967390	4938697
1623678967425	4937840
1623678967457	4936283
1623678967491	4936566
1623678967539	4935431
1623678967557	4936137
1623678967592	4937215
1623678967627	4940030
1623678967662	4941448
1623678967693	4943455
1623678967736	4947346
1623678967762	4947414
1623678967796	4949751
1623678967829	4947283
1623678967863	4948836
1623678967901	4949974
1623678967937	4949681
1623678967959	4951806
1623678967994	4954185
1623678968029	4956056
1623678968065	4957574
1623678968099	4952515
1623678968133	4942542
1623678968181	4937105
1623678968197	4937133
1623678968235	4935967
1623678968269	4936301
1623678968302	4936337
1623678968346	4936456
1623678968378	4936837
1623678968406	4934519
1623678968437	4933165
1623678968463	4933013
1623678968504	4933224
1623678968543	4933282
1623678968576	4933881
1623678968626	4938964
1623678968640	4940844
1623678968674	4941231
1623678968708	4943808
1623678968742	4945675
1623678968775	4946938
1623678968824	4948142
1623678968845	4949614
1623678968876	4952297
1623678968909	4954725
1623678968944	4956922
1623678968988	4959779
1623678969013	4961792
1623678969045	4958443
1623678969081	4948479
1623678969112	4940638
1623678969148	4939311
1623678969185	4940023
1623678969218	4940978
1623678969250	4940346
1623678969283	4941213
1623678969318	4940388
1623678969350	4941014
1623678969384	4938034
1623678969418	4936446
1623678969450	4937975
1623678969484	4938959
1623678969519	4937846
1623678969554	4939584
1623678969587	4939054
1623678969630	4941021
1623678969664	4944774
1623678969690	4945901
1623678969722	4946822
1623678969756	4946476
1623678969795	4944496
1623678969827	4945429
1623678969857	4949083
1623678969889	4951048
1623678969925	4950443
1623678969958	4946308
1623678969993	4936184
1623678970027	4929636
1623678970075	4924654
1623678970093	4924602
1623678970126	4926563
1623678970159	4926566
1623678970195	4926112
1623678970228	4926804
1623678970258	4926678
1623678970295	4924244
1623678970330	4921962
1623678970364	4925922
1623678970398	4926335
1623678970437	4926836
1623678970470	4927893
1623678970500	4929020
1623678970532	4930952
1623678970565	4931269
1623678970602	4932038
1623678970635	4930872
1623678970668	4932770
1623678970700	4933775
1623678970736	4936218
1623678970769	4937618
1623678970802	4939563
1623678970838	4940411
1623678970882	4934545
1623678970915	4924125
1623678970952	4918798
1623678970974	4916653
1623678971008	4918088
1623678971040	4918671
1623678971079	4919962
1623678971104	4917394
1623678971139	4919232
1623678971172	4918808
1623678971209	4917139
1623678971244	4915515
1623678971277	4914803
1623678971310	4918025
1623678971340	4918650
1623678971375	4921436
1623678971413	4922341
1623678971446	4923644
1623678971478	4924656
1623678971525	4925673
1623678971546	4924967
1623678971580	4926283
1623678971614	4928513
1623678971646	4928121
1623678971684	4930658
1623678971721	4933638
1623678971754	4934922
1623678971781	4935087
1623678971816	4925553
1623678971852	4917321
1623678971886	4916521
1623678971919	4916576
1623678971950	4916630
1623678971984	4918036
1623678972019	4917257
1623678972052	4919437
1623678972085	4917709
1623678972120	4916999
1623678972167	4914411
1623678972191	4915442
1623678972222	4916333
1623678972253	4917524
1623678972289	4919232
1623678972331	4921596
1623678972364	4923254
1623678972393	4926114
1623678972424	4928677
1623678972457	4930410
1623678972490	4932407
1623678972528	4934389
1623678972561	4937458
1623678972592	4938913
1623678972629	4943829
1623678972661	4944496
1623678972693	4945604
1623678972728	4947401
1623678972776	4940400
1623678972796	4931172
1623678972830	4925051
1623678972865	4926781
1623678972898	4929170
1623678972931	4931991
1623678972973	4931812
1623678973006	4933523
1623678973032	4934671
1623678973066	4933900
1623678973104	4932733
1623678973138	4932079
1623678973170	4933859
1623678973199	4934253
1623678973235	4936069
1623678973268	4938119
1623678973303	4942190
1623678973336	4941977
1623678973369	4945458
1623678973419	4947509
1623678973438	4948942
1623678973471	4950078
1623678973505	4949824
1623678973538	4952639
1623678973572	4953518
1623678973616	4955935
1623678973642	4957246
1623678973674	4957979
1623678973708	4953962
1623678973742	4944765
1623678973780	4938577
1623678973813	4937972
1623678973842	4940000
1623678973876	4942198
1623678973910	4944475
1623678973944	4942620
1623678973982	4944884
1623678974017	4945530
1623678974060	4941318
1623678974076	4941376
1623678974113	4941549
1623678974145	4940888
1623678974180	4943060
1623678974213	4943551
1623678974258	4945580
1623678974283	4946035
1623678974317	4947244
1623678974349	4946776
1623678974384	4946424
1623678974422	4947229
1623678974455	4947021
1623678974483	4948136
1623678974520	4949669
1623678974554	4951162
1623678974586	4953126
1623678974621	4952186
1623678974654	4944015
1623678974686	4933917
1623678974721	4929323
1623678974755	4930058
1623678974790	4929146
1623678974823	4930315
1623678974857	4929718
1623678974900	4929564
1623678974924	4927948
1623678974958	4926315
1623678974993	4924502
1623678975025	4925010
1623678975064	4924983
1623678975097	4926937
1623678975125	4929414
1623678975160	4930282
1623678975194	4931133
1623678975230	4932322
1623678975262	4934170
1623678975295	4934960
1623678975329	4933998
1623678975362	4936453
1623678975396	4939117
1623678975430	4939780
1623678975467	4941088
1623678975510	4941280
1623678975542	4942996
1623678975568	4939401
1623678975600	4928302
1623678975634	4918443
1623678975667	4917024
1623678975706	4917648
1623678975733	4918029
1623678975767	4919249
1623678975799	4918654
1623678975834	4918339
1623678975871	4918799
1623678975904	4914367
1623678975935	4913718
1623678975969	4913816
1623678976005	4914963
1623678976038	4914997
1623678976071	4917744
1623678976105	4919402
1623678976152	4922006
1623678976175	4921414
1623678976206	4922156
1623678976240	4922957
1623678976274	4921652
1623678976316	4924506
1623678976349	4923339
1623678976376	4925187
1623678976410	4928267
1623678976444	4929887
1623678976476	4930358
1623678976513	4925506
1623678976546	4914660
1623678976577	4905782
1623678976612	4901396
1623678976646	4899943
1623678976679	4901242
1623678976714	4900729
1623678976745	4898803
1623678976779	4901581
1623678976810	4901124
1623678976850	4897777
1623678976883	4898838
1623678976915	4898693
